id,tweet
1962570067805380685,"RT @GonzaloParadelo: If you are serious about building an AI SaaS in 2025, these are the frameworks you need to know about:

LangChain: Mod…"
1962569211278172192,"Nano BananaをGen AI SDKやLangChainから叩く方法について記事を書きました！

どうやら、APIを利用する場合は、英語でプロンプトをかくと画像が返ってこないことがある問題は回避できそう！

Nano Banana(gemini-2.5-flash-image-preview) APIを試す。｜asap https://t.co/PAjvBu6LEl #zenn"
1962569146320728212,"If you are serious about building an AI SaaS in 2025, these are the frameworks you need to know about:

LangChain: Modular framework for LLM workflows, with LangGraph for agents and 600+ integrations. 
- Use cases: RAG, bots, semantic search, content generation, finance reports."
1962564265505878481,"RT @TearlineAI: 🔥 Tearline × LangChain

DeFi meets AI.
With @LangChainAI , we’re taking our AI + DeFi fusion to the next level—smarter, sim…"
1962560176034140626,"RT @TearlineAI: 🔥 Tearline × LangChain

DeFi meets AI.
With @LangChainAI , we’re taking our AI + DeFi fusion to the next level—smarter, sim…"
1962559990801277315,"@augustinabele LangChain - quick prototypes
LangGraph - complex multistep Ai systems"
1962557737038147610,"@builtin2005 truth every minute you spend building your own wrapper is a minute lost learning from real users

langchain + ai workflows let you focus on logic not plumbing

integrate, test, ship, iterate

the real advantage isn’t building a model it’s how fast you get feedback and revenue

if"
1962555598722970009,@ginacostag_ @Video_Ocean_AI Wild! 🤯 Agentic systems are evolving fast. We build similar tools in Month 4 using LangChain + MCP. What use cases would you explore with AI video? #AIengineering
1962555109419999456,"RT @TearlineAI: 🔥 Tearline × LangChain

DeFi meets AI.
With @LangChainAI , we’re taking our AI + DeFi fusion to the next level—smarter, sim…"
1962551848939983121,"Imagine if https://t.co/qUEdA5Xg8H + LangChain had a baby — that's @Everlyn_ai 

Hyper-realistic AI agents, decentralized video generation, on-chain API protocols.
This isn’t the future — it’s happening now.
Dive in: https://t.co/Cp2dT70r6n
#AI #Web3 #VideoAI #Lyn"
1962549885980274947,"RT @TearlineAI: 🔥 Tearline × LangChain

DeFi meets AI.
With @LangChainAI , we’re taking our AI + DeFi fusion to the next level—smarter, sim…"
1962545272858591307,"Recently started the LangChain playlist by Nitish Singh (@campusx_)
So far I've covered:
-What &amp; why of LangChain
-Core components
-Language &amp; Embedding Models
- Static vs Dynamic Prompts
-PromptTemplate
#LangChain #AI #LLM #100DaysOfCode #LearningInPublic #campusx https://t.co/A3diN8YuOy"
1962536988847788271,"RT @KirkDBorne: Generative AI on Google Cloud with #LangChain — Design scalable #GenerativeAI solutions with #Python, LangChain, and Vertex…"
